Username,Total reviews,Location,Date,Content,Rating,Polarity,Subjectivity
Ann,2 reviews,GB,"Nov 17, 2023","Lovely ski trousersLovely ski trousers, fit well ( a little long but possibly it’s me that’s a little short!!!). Medium/ I’m usually a 12/14 uk size - very roomy, so ideal if I need a layer underneath ( haven’t had the opportunity to try out in the snow yet. Good service, prompt delivery from Spain ( tracking clearly telling me where they were on their journey). Thank you!Date of experience: November 17, 2023",5,0.18,0.53
customer,12 reviews,US,"Nov 6, 2023","Perfect service, design, and fit!I saw these jerseys were all ‘race’ cut and due to bad experience in the past with too-tight fits I ordered one size larger than the guide recommended. They came and were clearly too large, mainly in the sleeve and torso length.  I was able to send them back at no charge and they were replaced with the smaller size which actually fit perfectly - not loose by any means but not so tight that it restricts breathing as other jerseys have done. They look and feel good. The fabrics are amazingly stretchy in both directions and very supple. The colors and patterns are far better than other companies have. I will be ordering more!Date of experience: November 03, 2023",5,0.14,0.48
Steve Oliver,1 review,GB,"Jul 15, 2024","Terrible product and insulting attitudeBought some Siroko sunglasses (K3 California) a few weeks ago.  The third time I wore them while running it started to drizzle and the mirrored coating on the lens literally started bubbling and peeling off - 50% of the coating has gone and the glasses are completely ruined.  I had flecks of orange metallic coating all over my face.I contacted Siroko with pictures of the glasses and the damage caused.  They replied saying this is ""normal wear and tear"" but offered a 6 euro credit.  A complete insult.  I've never had this happen to sunglasses before, even the cheapest ones - but these were £40.I'm going to have to try and get a refund from the bank but I'd advise people to stay well clear of this company.Date of experience: July 15, 2024",1,-0.22,0.49
Jan Macek,7 reviews,GB,"Jun 7, 2024","Bad customer serviceFirst order I made hasn't been delivered (it's been over a year) and Siroko wasn't able to help. Second order I was refused to return goods after the return period, which was hard to find on their website, and was worded that I assumed I wasn't limited by time to return.Date of experience: May 16, 2024",2,-0.11,0.4
agnese pastare,2 reviews,LV,"Jun 27, 2023","Very good qualityVery good quality, excellent service, super fast delivery!We started with buying sunglasses (which are still used years later) and now we order cycling clothes, and more.. Everything so far has been exactly as hopedDate of experience: June 20, 2023",5,0.44,0.6
Ryan Southwell,12 reviews,GB,"Jul 24, 2024","Terrible companyI bought sunglasses, after two weeks the lense lost its colour after they got wet in rain. They refused to replace them as they’re clearly faulty and recommended I buy another pair. Ridiculous Date of experience: July 24, 2024",1,-0.33,0.7
william powers,4 reviews,US,"Jul 24, 2024","Stay far away from this company they…Stay far away from this company they are dishonest. I received a pair of bib shorts that are poor quality, threading, and stitching is already loose. Have not even worn them yet. I bought another piece of clothing that didn’t fit. I returned it with tags attached in the factory packaging. The company is saying that I had worn it and washed it which is not true because I haven’t even had the package for less than 48 hours. I still have the shorts with tags attached because I’ve never worn them afraid to put them on be honest with you stay far away from this company. They are dishonest and will try everything they can to keep your money. Plus in my opinion, the quality of their stuff is not good and I recommend other companies that do better . Date of experience: July 23, 2024",1,-0.05,0.62
Conor Wynne,1 review,IE,"May 26, 2023","Excellent prices!I have bought a lot of cycling gear over the years from Siroko and I find the quality/price to be very hard to beat. The speed of delivery is excellent, this last purchase (last thursday morning I received the goods on friday evening - Spain to Ireland, that's brilliant!). Love this company, will be buying more stuff for sure!Date of experience: May 18, 2023",5,0.45,0.62
Adam Ramsden,3 reviews,GB,"Sep 27, 2023","AMAZING CYCLE CLOTHINGThe quality and fit of Siroko’s cycle wear is amazing! The Jersey and Gilet I’ve just received are outstanding! Be patient with the delivery if you’re in the UK, items come from Europe so don’t get all ancy and demand it next day. I will be 100% purchasing next summer’s bike gear from Siroko!Date of experience: September 27, 2023",5,0.4,0.51
Brad Graham New,1 review,GB,"Feb 21, 2024","Very happyVery happy! After reading a lot of bad reviews after I had already purchased my snowboard jacket online, I had my doubts as I needed the jacket for a holiday I was going on in 9 days from the time I ordered. I ordered the jacket on a Thursday evening and it arrived 4 days later to my house in England , it was exactly what I ordered and fits great. I would definitely use this company again!Date of experience: February 19, 2024",5,0.22,0.5
Mark Wooldridge,1 review,AU,"May 31, 2023","First Class product and serviceI recently placed my fifth order with Siroko . I am continually impressed by the great quality of the cycling apparel. The designs are also spot on and inpsiring. Thank you also for some of the fastest supply service i have ever experienced :) Siroko Can't be faulted. First class.Date of experience: May 31, 2023",5,0.51,0.65
Carlos Casado,14 reviews,ES,"Nov 10, 2023","Top Quality products and serviceI have made quite a few purchases from Siroko, mainly cycling products. These have been for me and for gifts to friends and family. The products have always been of great quality and we have all been very happy with them. The service received is always TOP QUALITY also, fast delivery of products, good communications from service team and an overall great shopping experience. Thanks SIROKO TEAM!!!Date of experience: November 03, 2023",5,0.42,0.48
Andy,773 reviews,GB,"Jan 14, 2024","Siroko Ski Wear ReviewFirst item brought from them was a W1 USHUAIA Ski / Snowboarding Jacket. Quality is excellent and sizes generous. Only criticism was the standard delivery took just over 2 weeks to arrive although the link to detail delivery installation was very informative as to where the item was and that it had been dispatched. Highly recommended.Date of experience: December 31, 2023",5,0.27,0.57
Myrsini Kitirioglou,698 reviews,GR,"Nov 13, 2023","Best b-day present ever!The package arrived in only two working days, with constant information for the procedure. The products were amazing! So much better than the photos!It was the best birthday present😀💝Totally recommend 👌Date of experience: November 10, 2023",5,0.46,0.48
Jürgen,27K reviews,AT,"Nov 22, 2023","Totally in love with my new Ski/Snowboard clothingsI've ordered several sunglasses and ski goggles before, and back then, I wasn't completely convinced. However, I always came across Siroko's cycling and ski/snowboard clothing, and I was always impressed by the design and the website.A friend of mine ordered something a while ago, and everything went smoothly. So, during the Black Friday deals, I decided to order a snowboard jacket and matching pants.What can I say? Everything is top-notch! The shipping was extremely fast – the package arrived just 2 days after placing the order, and that's coming all the way from Spain. I unpacked everything, and I have to say, I wasn't disappointed. Everything looks very high quality and well-made. The fit is perfect, and the size information on the website must have been accurate because I ordered exactly based on my measured size.I'm very, very satisfied and looking forward to the first day on the slopes and the attention this combo will attract.Date of experience: November 08, 2023",5,0.31,0.56
Rokazas tr,1 review,LT,"Oct 13, 2023","Manufacturing defectsI do not recommend it as they do not accept manufacturing defects.Two lenses (1 replacement) of glasses have same defect within same 2 months intervals (film pilling off).First time I got replacement, but second time not.ECC-Net (European Consumer Centres Network) - told me they must replace item or refund.Date of experience: September 13, 2023",2,0.0,0.06
piotr wieczorek,1 review,PL,"May 19, 2023","best possible experience!!best possible experience!!1) ordered Thursday morning in Poland, received Friday in Poland from Oviedo, Spain!2) Items of top quality!!I will order again soon! So excited to find Siroko!PiotrDate of experience: May 19, 2023",5,0.4,0.71
Kellie Barton,1 review,GB,"May 23, 2023","Excellent communication from this companyI was skeptical after purchasing and then reading reviews but....wasn't an easy process to return but the communication from this company was brilliant!!! We liaised constantly on the whereabouts of my return and was refunded as soon as they received it.If you live in the UK it's a hassle to return as needs to get through customs but got there in the end.Can't fault this company at all.Date of experience: May 01, 2023",5,0.34,0.69
András Horváth,3 reviews,HU,"Dec 7, 2023","Super fast shipping, awesome jerseysSuper fast shipping :O from Spain to Hungary in 2 working days?! Incredible. I have now 4 jerseys and a jacket from Siroko. The Jacket is still waiting for being used but the jerseys are lovely. Nice, fit and no real mark of usage so far (used them during this past season). I'm happy with these products and I probably will order again from Siroko :)Date of experience: December 04, 2023",5,0.37,0.75
Kristofor McGhee,1 review,AU,"Jun 5, 2024","SirokoSiroko. Absolutely infuriating! I wouldn't recommend this cycle brand to my worst enemy. Their so-called ""popular"" products are nothing but substandard junk. Imagine spending your hard-earned cash on apparel only for it to fall apart after a few uses. It's a disgrace! Save yourself the headache and invest in a brand that actually values quality over quick sales. Siroko is a total letdown and a waste of money. Steer clear unless you enjoy throwing your money down the drain.Date of experience: June 04, 2024",1,-0.08,0.53
Rusty Griffith,7 reviews,US,"Dec 8, 2023","I was very impressed with the quality…I was very impressed with the quality of the clothing for the price.  The delivery time was faster than expected.  The customer service was fantastic...they were responsive and immediately satisfied my request for a size exchange.  I will say that the bibs were true to size for me, but I had to go up one size for the jersey since the really tight pro fit was a little too snug for me.Date of experience: December 01, 2023",5,0.35,0.65
Ravadu,1 review,DE,"Nov 29, 2023","Great cycling apparelFor me, Siroko is absolutely great. I live in Germany, they have express delivery, they have superb equipment. I do 8+ hours on the bike, no problems whatsoever. 12 hours I did this summer in one go with their bibs and I had no complaints at all. The price is great, they almost always have sale or similar etc. I stopped buying BioRace because the quality in the last two years was lacking and I have to say: Siroko is great. So I'll stick to it for now.Date of experience: November 29, 2023",5,0.54,0.62
Michelle Woodman,1 review,IM,"Jun 26, 2024","Terrible companyTerrible company!  Have had an order go missing.  They have sent a photo from the courier (DHL) claiming to be the parcel at our front door but you cannot access our front door as the building main door is always locked.  The photo isn't even in our building.  We have sent proof of this but they are insinuating we are liars.  We are £150 out of pocket but they are obliged to repay us per the distance selling laws in the UK. However they will not.  Terrible customer service.  Avoid at all costsDate of experience: June 19, 2024",1,-0.13,0.6
Erdinc Topak,9 reviews,DK,"Jun 14, 2023","Paid return & No Follow-upI don't like the idea of having to pay for return services in case I don't like the product or if it doesn't fit me at all (regardless size).Siroko was nice to reach out to me after my purchase however no real follow-up or a reply to my inquiry happened.So if everything is fine, great but if you see an issue with product, good luck having adequate support.Date of experience: June 14, 2023",3,0.45,0.55
Martina Čermáková,1 review,CZ,"Nov 16, 2023","Very helpful staffVery helpful staff, quick and constructive communication.Some parts of my order were missing - they have lost during the transportation. Staff of Siroko helped me with this condition, the communication was quick, practical and very polite.I appreciate the results, thay have sent me new pairs of glasses.I will be loyal to this company.Date of experience: November 16, 2023",5,0.19,0.42
rob benthem,1 review,DE,"Nov 22, 2023","The quality was last year ok but since…The quality was last year ok but since 2023 it is getting worse. Also are the sizes as given on the site not accurate. Complaining and asking about the service by mail..... Frustrating, getting standard copy+paste answers. I don't think they read my questionsDate of experience: November 22, 2023",3,-0.0,0.41
Justin Holt,3 reviews,AU,"May 9, 2023","Great road bike clothingGreat road bike clothing, delivered multiple orders in a timely manner, good quality and excellent price. Fast delivery option via DHL is great value and takes a few day only.Date of experience: May 05, 2023",5,0.47,0.54
Jill Allison,4 reviews,NZ,"Dec 29, 2023","I live in New Zealand and recently…I live in New Zealand and recently purchased some cycling attire. Your service was incredible. Great communication and I couldn’t believe how quickly the product arrived. And the product is stunning. Such incredible quality.Date of experience: December 30, 2023",5,0.36,0.61
Morten Mørup,3 reviews,DK,"Jul 3, 2024","Bad bad customservice from Siroko…Tried to get a returnlabel from Siroko customservice for more ryan 2 weeks now - wrote them 5 times but nothing happens, total radiosilence.really really not okay Siroko - get your s… together!!!!Date of experience: June 17, 2024",1,-0.23,0.62
David Mullen,8 reviews,US,"Jun 4, 2024","One of the shoulder straps splitOne of the shoulder straps split, the stitching was obviously inferior. I sent them pictures and there response is copied and pasted below.We are sorry to inform you that breakages, such as the case we can see in the attached photographs, are not covered by the warranty. We would add that the garment may suffer slight damage in everyday use, which is not covered by the warranty unless the purchaser can prove that the item was already faulty when it was delivered to them. I purchased the bib on March 22 and it is already garbage.Date of experience: June 03, 2024",1,-0.17,0.55
Natasha Pezzente,1 review,CA,"May 17, 2023","Great product, awful customer service!First time ordering from Siroko, items came very quickly and are good quality. One of the products however arrived with a zipper broken and I've been trying to get a hold of customer service for 2 weeks without any response!  Not impressed by the customer service and I might now be stuck with a broken item!Date of experience: May 04, 2023",3,-0.07,0.69
EK Loewen,2 reviews,CA,"Jun 25, 2024","Poor Quality, Poor Customer Service, Poor ExperienceThe stitching on my gilet started coming apart after about 15 uses.  When I emailed Siroko with pictures, they said they are not responsible for ""breakages and dislocations"" as seen in the picture.  They offered me $10 in my Siroko wallet, which I declined, as I will never buy another product from them again.I purchased this item at the very end of April, and it started coming apart in early June. Buyer beware. Siroko will not stand behind its product, even though it claims to be high-end. Poor warranty, poor quality. Not worth the risk.Date of experience: June 24, 2024",1,-0.24,0.49
Kate Potter,1 review,GB,"Nov 30, 2023","I had a bit of a panic when I realised…I had a bit of a panic when I realised the items were coming from so far but actually they were received in good time and good condition. The thermal jackets aren't the thickest in the world but good value and good as a layer. There was a funny smell but it did wash out!Date of experience: November 17, 2023",4,0.45,0.64
Svata Mikaus,2 reviews,NO,"May 8, 2024","OBS! Ingen garanti!!Fikk BIB shortsen jeg bestilte (denne tok over 2 mnd før den kom). Tok denne på. Fant at den var revnet i sømmene flere steder. kjempe dårlig kvalitet. Siroko nekter ansvar og sier følgende: We are sorry to inform you that breakages, such as the case we can see in the attached pictures, are not covered by the warranty. We would like to add that the garment may be slightly damaged in daily use, which is not covered by the warranty unless the buyer can prove that the item was already defective when it was delivered. Alteration of the products by the consumer will invalidate any warranty.----Det er altså ingen garanti på varene etter de er tatt i bruk og du må kunne bevise (hvordan vet jeg ikke) at varen var skadet når den kom. Date of experience: May 07, 2024",1,-0.17,0.42
Sharon,1 review,DK,"Dec 11, 2023","Super Cycling Clothing BrandVery good and nice service and help.Super material on the cycling clothing and verry nice colours with not too much print.Thank you.Recommended this brand to everyone 🙂Date of experience: December 11, 2023",5,0.49,0.69
de castro,773 reviews,CA,"Jan 3, 2024","i’ve ordered from them in the past and…i’ve ordered from them in the past and had no problem, i really like their ski goggles and think they look nice.. HOWEVER the most recent thing i ordered still says “in transit” keep in mind i ordered this over a month ago (past the 15-20 day wait).. i noticed you get a response if you’re nice but as soon as you start to “complain” they flat out ignore you.. i woudnt say they’re a scam but they’re really bad when it comes to shipping and communicationDate of experience: January 02, 2024",2,0.04,0.45
Vladislav Uskov,698 reviews,CZ,"Dec 13, 2023","Yoga Mat PlankI received a mat so good I might actually just sit down on it doing whatever else than just doing my daily routine, that's how nice it is!Date of experience: December 13, 2023",5,0.23,0.4
Dominic Tryczynski,27K reviews,GB,"Updated Dec 30, 2023","Sent wrong goggles, no response to emailsUpdate to original review.Siroko got in touch and apologised for the delays that were due to Black Friday backlog. They sent a new pair of goggles promptly after this and the quality seems good. Purchased some ski goggles on 24th November, received 1st December but they sent completely the wrong set.Contacted them on 1st December using the contact form and also replied to an email asking what I thought of the purchase.Received an email on 5th December apologising and asking me to confirm my address for them to send the replacement pair. I confirmed that it was correct on the 5th.Chased them on the 8th December for an update. Chased again 11th December.Chased again 12th December.No response. If I don't receive something in the next could of days I'll look at doing a chargeback on my credit card.Date of experience: November 24, 2023",3,0.04,0.58
Jose Zaragoza,1 review,CA,"May 17, 2023","Siroko provides amazing quality and…Siroko provides amazing quality and performance for a fair price. The majority of my gear consist of Siroko wear. I have recently discovered how awesome SRX gear is compared to the standard Siroko gear which is great on it's own.Date of experience: May 16, 2023",5,0.53,0.67
Kasper,1 review,DK,"Jul 12, 2023","Great - at promo pricesIn all honesty, I likely wouldnt buy the products if not for the promo sale prices. But Im like that with most bike gear, as Im not an enthusiast. That said, Siroko products are a solid option at the promo price. Good quality feel, nice and clean design, good service, meets expectations. I will shop Siroko again, no doubt.Date of experience: July 07, 2023",4,0.46,0.66
Van der Meij,1 review,NL,"Jul 24, 2023","Outstanding service!I haven't had the chance to try out my running sunglasses yet, but I'm really looking forward to it. I have received them from Siroko, and they looked of very high quality.Furthermore, I am highly satisfied with the outstanding service! Thanks!Date of experience: July 24, 2023",5,0.41,0.73
Slovak bike girl,3 reviews,SK,"May 4, 2023","Rapid deliveryRapid delivery, nicely packed in zipped re-usable bags. Material of the products is great, colors as per photos on the web. I wear S, as this was my first purchase from Siroko, i have ordered M. Next time I will order S.Date of experience: May 02, 2023",5,0.41,0.52
customer,2 reviews,PT,"May 17, 2023","Money for quality!Every time I buy something on the website, everything goes perfectly! quality- check price- checkdesign- check lead time -check Now they also follow the order personally!Highly appreciated!Date of experience: May 16, 2023",5,1.0,1.0
Andreas Kennums,30 reviews,DK,"Jul 27, 2024","Still waiting on my returnStill waiting on my return. I returned my Bibs and shirt. The Bib was a size to big and my Shirt was damaged when arriving. I used their portal and sent them back for a swap. They arrived 12/7 and i have not heard anything. I wrote them 3 emails, but no response. Please respond to my email - Order 1591201Date of experience: June 24, 2024",1,0.0,0.05
Jill Johnson,1 review,US,"Nov 21, 2023","Perfect ski jacketThe ski jacket for our 14 year old granddaughter was excellent quality, a really good buy.The price was very competitive and the delivery impressive.All in all customer service was perfect. ThanksDate of experience: November 21, 2023",5,0.67,0.68
Phill ,1 review,GB,"Jun 22, 2023","After watching YouTube videos reviewing…After watching YouTube videos reviewing and giving sizing information on Siroko cycling clothing I sized as normal with SRX shorts but sized down smaller a size with a SRX jersey. I have worn Alé exclusively since 2014 and have been reluctant to try anything else but I'm genuinely pleased I did, I'm so happy with my purchase. I ordered only two items and a bidon just to make sure I got my sizing correct, now I know what I need I can't wait to buy other kit variants. Exceptional quality and price is extremely competitive and I don't feel I'm being ripped off, which ultimately means I will still spend but just get more for my money. Regarding delivery - I ordered on Monday at just before 2pm. It was delivered to me in the UK by Wednesday 12pm, that's outrageous service - I couldn't get on a plane to Spain and back in that time. I really hope this level of service and quality continues, please Siroko do not sell out and change my faith in cycling businesses has been restored!Date of experience: June 21, 2023",5,0.13,0.69
Koen Van Nuffelen,6 reviews,BE,"May 13, 2024","Customer service non existant.Customer service non existant.Wanted to return items due to the size being too large. However there was an issue on the website where my account didn't show the order so I couldn't generate a return label,tried asking one through mail for days. I received 1 automated response completely ignoring the issue and never heard from them again.Date of experience: May 09, 2024",1,0.06,0.4
Alan Mackay,3 reviews,CA,"Nov 6, 2023","Fast delivery of warm garmentsThe thermal jersey and leg warmers I ordered arrived very promptly, and have kept me warm on a couple rides now. I'm impressed with how they've held up to the thorns I have ridden through without tearing.Date of experience: November 04, 2023",5,0.52,0.62
David Vitale,13 reviews,AU,"Nov 1, 2023","I tried on the SRX Pro jurseys I bought…I tried on the SRX Pro jurseys I bought this morning after they arrived in the post and they fit perfectly, like a race cut should, they felt good and look great! I'm glad I went the medium and not the large. I'm 182cm, 79kg and a little more built in the upper body as I go to the gym. The delivery was very swift, and it has been the second time I've ordered from Siroko and both shipments have been prompt.I am also enjoying the K3 sunglasses, hence I've ordered another pair in blue-mirror to complement the green-mirror ones I have from Siroko, so I can wear the right colour glasses for the right colour kit and look sharp on my bike. Gotta look the part too!! 😉I'm pleased with Siroko. Thanks.Date of experience: October 31, 2023",5,0.36,0.56
Kevin Verbist,3 reviews,IS,"May 24, 2023","Was a bit scared to order online..Was a bit scared to order online... but was easy got delivered on time... I even emailed them..asking when because my billing and sending address was different. But they replied promptly and my siroko snowboard goggles was delivered perfectly.Good quality.. Good brand..so yes 5 starsDate of experience: April 22, 2023",5,0.38,0.68
Lorraine Armstrong,1 review,GB,"Apr 7, 2024","Siroko’s “free returns for exchanges” misleading! Don’t buy! Ordered a cycling jacket and am trying to exchange for a different size. Website advertises free exchanges; however the DHL shipping label barcode that I downloaded wouldn’t work when I took it to my local DHL drop-off point. Tried contacting Siroko 3 times to get a new returns label and haven’t had any reply. Terrible customer service. Date of experience: April 05, 2024",1,0.03,0.61
Scott J,6 reviews,US,"Feb 23, 2024","Please don't buy. Faulty product, appalling customer service Glasses broke after 5 uses. Snapped at the arm support of the frame which will is very thin.Sent 3 website contact requests with photos over a 3 week period. No other contact method available. Completely ignored.Sent a response to marketing mail and finally got a generic reply suggesting it was my fault.Faulty product, appalling customer service. Please don't buy.Date of experience: January 13, 2024",1,0.01,0.53
Tim Massuger,3 reviews,AU,"May 11, 2024","Poor qualityI purchased a pair of short knicks in December 2023. They tore at the stitching after 3 months riding 3 times a week. Siroko refused to replace the product and blamed 'customer usage patterns'. My previous pair of knicks was still going strong after 3 years of riding. Terrible quality and poor customer serviceDate of experience: May 11, 2024",1,-0.26,0.57
Helen,5 reviews,FR,"Oct 18, 2023","I love Siroko productsI love Siroko products, very good quality, very nice outfits for women - delivery is super fast too. Definitely my favorite brand for cycling :)Date of experience: October 11, 2023",5,0.53,0.78
Chev,4 reviews,AU,"Jan 10, 2024","I ordered the wrong size and the return…I ordered the wrong size and the return was a super easy process and the new size was shipped out extremely fast. The quality is fabulous and recommend their snow gear!Date of experience: December 25, 2023",5,0.07,0.76
Allicia Mello,2 reviews,US,"Nov 28, 2023","Good customer serviceThe customer service was great to deal with. I don’t love that I can’t talk on the phone with them, but they did email me back in like a day and a half. My daughter didn’t like the color of the jacket. It looked different online. I did have to pay to ship it back but they gave me a discount on the new jacket I bought, so it all evened out. We’re yet to see how warm and waterproof it is since it’s still a little early where I live to start skiing. As of right now we’re satisfied with the jacket.Date of experience: November 27, 2023",5,0.24,0.47
Yannic Weitz,1 review,BE,"Oct 20, 2023","Since 1 year now I am a convinced and…Since 1 year now I am a convinced and happy customer. Siroko gives us top quality apparel at a fair price. Also with regard to how it looks, big fan of the design and colours. Let’s be honest, I wouldn’t buy it if I would not like how it looks.Date of experience: October 20, 2023",5,0.52,0.68
Consumer,1 review,GB,"Feb 28, 2024","arms are for orangutans, made for small menQuality jackets however the arms are made for orangutans! The XXL is about a uk size 18. That’s the biggest they go to and it’s meant to be a baggy look. The ladies gear is the same fit as the men’s I bet as the hips are too small in proportion for the shoulders and arm length. The returns appear to be free but it’s £9ish.  Customer service ignores you and just gives a generic response. Pointless to contact them.  Date of experience: February 28, 2024",2,-0.0,0.38
Kaleb Stanley,773 reviews,IE,"Nov 15, 2023","snowboarding hoodieBought a snowboarding hoodie from them and it's perfect. Very comfortable, waterproof, nice colour, nice fit. Very happy with my purchase.Date of experience: November 13, 2023",5,0.69,0.9
Sarah,698 reviews,IE,"Apr 28, 2024","This company has the worst customer…This company has the worst customer service I had quite possibly ever had. My order is over 20 days past when it should have been delivered, despite having paid for courier service. It is lost and they will not admit it is lost. They are blaming courier,  the courier never received the package. I have requested a refund and have heard nothing back bar be patient. I think 20 days over due is a joke to not have gotten a satisfactory response, replacement or refund. DO NOT ORDER FROM THIS SHAM OF A COMPANY! Absolutely shocking treatment of customers. Date of experience: April 28, 2024",1,-0.45,0.62
Ann,27K reviews,IE,"Updated Mar 22, 2024","Waiting waiting waiting for any sort of…Update: they finally got back to me after 4 days and have been very good with communicating since. Maybe they were on holiday??? Waiting waiting waiting for any sort of correspondence on an order I sent back for an exchange!!! Emailed twice, messaged on instagram too?!? Really disappointed in what I thought was   a modern well run company-guess notDate of experience: March 22, 2024",1,0.06,0.47
Sophie Finnemore,2 reviews,GB,"Aug 5, 2023","Although I has some trouble with return…Although I has some trouble with return ( turns out it was royalmail fault) siroko once they received my goods back they processed excahsne within 2 days to the UKDate of experience: August 04, 2023",5,-0.13,0.13
DIB,4 reviews,AE,"Sep 3, 2023","was very happy with siroko but their…was very happy with siroko but their delivery in france is a real pain.... the last order was given de colis prive and it's marked as delivered while it's not. A frustrating experienceorder number: 1162599Date of experience: September 02, 2023",2,0.42,0.64
julie,5 reviews,GB,"Jul 15, 2023","Really unhelpful with my returns…Really unhelpful with my returns request.  Yhere is no DHL near me and siroko won't offer an alternative.  I have contacted them through there Web contact form at least 5 times and have had no useful replies yet just.  I can't find away to actually speak to someone or attest communicate with the same person to help resolve my issue. Will not be purchasing again.  Also note returns are nearly £9Date of experience: July 15, 2023",1,-0.01,0.23
SIMON EASTWELL,1 review,GB,"Feb 19, 2024","Ordered a set of ski googles for my…Ordered a set of ski googles for my wife that are faulty. I have sent 3 emails via the correct proceedure as highlighted on their website and via my order and via my account but yet to hear anything back. Very good sending out the order and taking the money, I received tracking information etc but as most companies do they fail if there is an issue and the lack of assistance is non existant. Looks like a waste of £70 to me. Personally I wouldnt bother. These companies should not be allowed to trade.Date of experience: February 19, 2024",1,0.12,0.31
